순서,리뷰
1637,간편하게 데워먹기 좋아요
1638,여러음식을 다양하게 할수 있어요
1639,좋아요 잘 쓰고있어요
1640,"전자렌지 오븐 에어프라이어 등등 기능이 많아 좋아요ㅎㅎ

그런데 에어프라이이어로 작동시킬때
제가 원하는 온도와 시간을 설정할수있으면 좋겠어요ㅎㅎ
지금은
LGt에서 메뉴를 전송시켜 사용하는게 조금 번거로워요"
1641,광파오븐 디자인도 예뻐요.
1642,많이 활용해보려구용 ㅎㅎ
1643,고민하다가 구매했어요
1644,역시엘지 좋아요 만족해요.
1645,전에 쓰던것보다 조용하고 청소할때 힘이 덜 들어가서 편합니다
1646,굿굿굿 좋아용 모든요리가 재밌어요
1647,디자인도 깔끔하고 성능도 좋습니다.
1648,요리 기능 엄청 많아요!
1649,대만족합니다 완전잘샀어요
1650,쓰레기 같은 제품이네요..사용한지 2년 조금 넘었고 한 장소에서 무리해서 사용하지도 않고 평범하게 사용했는데 주요 부품 망가졌다고 수리하는데 11.3만원 나온다고 합니다. 해당 부품이 무상수리 1년 이라는데 고객 과실도 아니고 겨우 2년 사용한 제품의 부품이 이렇게 망가지면 누가 비싼돈 주고 사용할까 싶습니다. 아무리 가전제품이라도 2년짜리 수명이네요. 크기도 크고 무겁고 비싸고 금방 고장나고 수리비 비싸고..그냥 싸구려 전자렌지가 훨씬 낫습니다. LG전자 대실망입니다. 절대 사지마세요..고치지도 못했는데 AS출장비라고 2만원도 받아가네요ㅎㅎ
1651,"신혼집에 전자레인지와 에어프라이어 없이 지내다가
너무 불편해서 둘다 사용할 수 있다는 광파오븐을
베스트샵에서 제품 둘러본 후 매니저님 상담 후에
구입했습니다.
구입은 LGE.COM에서 혼수가전 적립된 포인트로
구입하였구요.
베스트샵 매장 구매를 망설인 이유는 같은 상품대비
LGE.COM과 매장 할인 금액 폭이 크게 다르더라구요.
포인트로 둘다 구매 가능한 부분이지만
포인트도 내돈내산적립이니까요^^..

제품 작동은 잘 되어 하자없음이 확인이 잘 되었고
가전제품이 오브제답게 색상 선택을 할 수 있어
선택한 광파오븐의 미스트베이지 색상이
집안의 다른 가전 색상과 주방에 잘 스며듭니다.

그리고 ThingQ 앱이 너무 유용하네요!
조리기능이 끝나거나 어떤 작동해둔 기능이
종료되면 핸드폰으로 푸쉬알림이 와서
잠깐 사이에 다른 일을 하고 있어도 알 수 있어요!
사용 1-2주 지났는데 청소 시기도
알림으로 오기도 하구요.

레인지 기능은 매장에서 설명 들었을때
단독 전자레인지 제품보다는 시간이 오래 걸릴것이다 라는
설명을 들었었지만 조금 더 여유를 두고 기다리니
그리 조리 시간이 오래 걸려 불편하단 느낌은
아직까진 받지 못했습니다^^"
1652,"전자레인지, 오븐, 에어프라이 다되서 너무 편하규 좋습니다.
다만 레인지와 다르게 음식물이 회전하지 않아 골고루 요리되지 않는 경우가 종종 있습니다. 광파오븐특성상 청소가 너무 힘듭니다 ㅠ"
1653,"전자레인지, 에어프라이어 기능을 한번에 활용할 수 있는 제품을 고민하다가, LG광파오븐으로 맞췄습니다 ;-) 디자인, 성능 모두 만족합니다만, 기능 활용할때 버튼 조작이 편하지는 않다는 점이 다소 아쉽습니다. 좌우-확인 버튼이 아니라, 시작버튼을 누르고 휠을 돌리고 하는 사용 경험이 쾌적하지는 않습니다."
1654,잘 사용하고 있어요.^^
1655,너무 너무 좋아요 강추입니다
1656,광파오븐 너무 좋아요
1657,너무 좋아서 잘 사용하고 있어요~
1658,디자인이 이쁘고 성능도 좋습니다
1659,다양한기능이 하나로 있어서 좋습니다
1660,좋아요 빠르고 편리하고
1661,너무 이쁘고 마음이 들어요
1662,"기존 7년된 광파오븐 렌지기능 고장으로 새로장만했습니다~
역시 신상이 좋으네요~^^ 다만 기존쓰던 버릇으로 물통넣고 빼기가 적응이안되네요^^;;"
1663,너무만족하는제품입니다
1664,좋아요 고구마구워 먹으니 맛있어요
1665,아주 마음에 들어요!
1666,"전자렌지. 오븐. 에어프라이어. 건조. 스팀 등 한 번에 되니 공간차지도 없거 좋아요.
안에 탄 자국은 어떻게 청소하야할까용;"
1667,디자인예쁘고 아주좋아요^^ㅎㅎ
1668,여러 용도로 잘 사용하고 있습니다.
1669,좋아요~신혼템에딱입니다^^
1670,음식맛이 변함없이 좋고 맛있어요
1671,가격대비 품질이 우수한 제품이네요.
1672,6개월째 사용중인데 잘쓰고있습니다.
1673,유용하게 잘 쓰고 있어요
1674,잘쓰고있어요 유용합니다
1675,종습니다
1676,색상 예쁘고 너무 좋아요.
1677,좋아요
1678,"가전은 LG라고? 개가 웃을일. 이제는 중국이 더 잘만듬. 서비스도 개판, 속지 말고 뽑기잘하시길 전 실망하고 중국제로 넘어갑니다"
1679,"에어프라이어 기능과 오븐 기능 그리고 전자레인지 기능이 다 들어있어서 좋습니다.
그러나 에어프라이어 섹션이 따로 있으면 더 좋겠네요."
1680,"정말 좋은데... 오염이 잘되구요
열선세척이나 내부세척이 좀 까다로워요.
환기구로 세제 들어갈까봐 제대로 세척하기힘들어요.
그냥 다음부터는 에이프라이기따로 전자레인지따로 살거에요"
1681,LG 디오스 오브제컬렉션 광파오븐 좋습니다
1682,"여러가지 요리를 편하게 할 수 있어서 좋아요.
내부 세척이 조금 어려운점이 아쉬운 점이에요."
1683,사용법이 더 구체적이면 좋겠어요. 보유한 레시피안에서는 굉장히 맛있게돼요!
1684,"기능도 정말 많고 잘 사용하고 있어요. 굿!!!
단 냉각기능이 따로 메뉴에 있으면 좋겠습니다. 냉각 중이나 요리 중에 취소하면 다시 냉각을 할 수 없어요."
1685,정말 실망스럽습니다. 제품 받고 1년 안에 같은 문제로 출장서비스를 5번은 요청한 것 같습니다. AS무상기간 끝나고 나서도 또 같은 문제 여전히 있습니다. 그냥 사용하지만 새 제품 아니고 문제있어서 회수된 상품 대충 고쳐서 저한테 주신거 아닌가 싶습니다.
1686,LG 오브제 오븐 평이 좋아서 구매했습니다.일단 외관이 갈끔하고 예쁘네요
1687,제품 구매 후 잘 사용하고 있습니다
1688,전체적인 인테리어와도 잘어울리구요 조리 기능이야 뭐 LG니깐 아주 만족해요
1689,디자인 깔끔하고 전자레인지랑 에어프라이어가 올인원으로 되어있어 따로 따로 공간차지하던게 하나로 쓰게되니 너무 편리합니다. 성능도 좋고 음식도 더 맛있는 느낌이예요.
1690,오븐 에어프라이 전자렌지 기능이 다 있어서 좋아요
1691,이거가 오븐도되고 레인지도되는데 진짜 너무 편리해요 다익혀지면 쿨팬으로 식혀주니까 너무좋네요 진짜 너무최고 ... 이번에 엘지전자로 가전 다 바꿧습니다^^ 가전은 엘지라는말이 괜히있는게아니죠
1692,만족합니다 색상도 이쁘고 좋아요
1693,너무 사용잘하고 있네요
1694,"일단 저는 오븐겸 전자레인지가 필요했고, 오브제 라인이 가격이 훨씬 비싼데 디오스오브제는 조금 가격이 다운되어있어서 구입했어요 현재까지 잘 사용중이며, 에어프라이 , 오븐, 구이, 레인지 골고루 잘 사용하고있습니다 추천해요:)"
1695,"전자레인지가 필요했는데, 오븐, 에어프라이어 기능도 있는 LG 광파 오븐으로 구매하였습니다!
다양항 요리법도 제공되어 있어서 이것 저것 해먹을수 있어서 좋네요~"
1696,"너무좋아요
리뷰가 늦었어요
지금부터 열심히 요리하게요"
1697,광파오븐 처음 써보는데 렌지 에프 오븐 기능 모두 사용할 수 있어서 대만족입니다.
1698,"가전은 엘쥐
산것중에 젤 잘 사용하는제품입니다
에어프라이와 전자렌지 오븐 다용도로 사용하기 너무 좋아요!"
1699,타사것보다 사이즈가 넉넉했고 일단 안에 내부 청소가 편할거같아서 골랐는데 너무 만족스럽습니다! 여러자리 차지않고 간편하게 하나로만 되어 좋아요
1700,전자레인지 대용으로 구매하였고 사용방법은 기존 전자렌지와 유사해서 쉅게 사용할 수 있어요.
1701,"17년된 엘지오븐 다시 엘지로구입
베이지색상이 너무 예뻐요~^^"
1702,디자인 이쁘고 성능 좋고~
1703,디자인때문에 선택하게 됬는데 성능도 좋아서 만족하며 사용중입니다
1704,"광파오븐 처음 사용해보는거라 아직 적응중이에요😅
전자레인지랑 에어프라이 위주로 사용하고 있는데
모드에 맞게 잘 사용하면 제품 하나로 활용도 높게 사용할 수 있어요!"
1705,"전자렌지도, 빵 구워 먹을 때나 먹태 구워 먹을 때에도, 에어프라이어 용도 등등으로 다양하게 활용 가능해요. 기능도 다양한데 좀더 구체적인 설명(온도 등)이 있으면 더 좋았을 것 같아요. 잘 샀어요! 만족도 높아요."
1706,"전자렌지보다는 다용도로 사용가능할듯해서 구입
디자인이 너무 맘에 들어요
역시 엘지는 디자인맛집
사용함에 아직까지 불편은 없어요"
1707,아직 까지 고장 없이 잘 쓰는중
1708,전자렌지치곤 좋고 오븐치곤 그닥이에요 생닥보다 커요
1709,빌트인 오븐이 주방에 설치되어 있어 베란다에 추가로 구매해서 놓았어요... 생선요리 전용으로 이용하는데 너무 마음에 듭니다 기능대비 가격도 너무 예뻐요
1710,그냥저냥 무난하게 사용하기좋아요~
1711,색상부터 기능까지 모두 마음에 들어요
1712,"성능이 넘좋아요
기존전자레인지와달리 2배단기간 조리가됩니다
에어프라이.제과제빵기능이 있어 강추입니다"
1713,작동할 때 약간 시끄럽긴 하지만 디자인도 예쁘고 좋아요.
1714,찜기능을 해봤는데 앞유리에 습기가 생겨서 1시간이 지나도 습기가 제거가 안되고 그대로 있네요
1715,기존 사용제품이 갑자기 고장나 검색하다 성능 좋다는 후기보고 구매하게되었는데 아직 사용은 안해봤지만 디자인도 예쁘고 기능이 정말 많네요~~^^
1716,사실 품목 추가하려고 한건데 가장 많이 쓰는 거 같아요
1717,가성비가 괜쥰해요 ㅎ
1718,다양한 요리를 할수있어서 좋네요
1719,만족합니다 ㅎㅎ 좋아요
1720,디자인 이쁘고 기능도 다양해서좋아요 약간2%정도 부족한 느낌은 있지만 싸게 잘구입했어요
1721,2년째 아무 문제없이 잘쓰고있아요
1722,잘사용할께요 좋습니다ㅎ
1723,활용도가 높아서 매우 만족합니다
1724,에어프라이어 기능은 확실히 별도로 구매해야할것 같아요. 특히 냉동빵을 위해 많ㅇ 사용하는데 좀 아쉬워요. 디자인은 정말 누구도 따라오지 못하게 예쁜데.... 전자렌지 기능만 하기에는 가격이 좀 아쉽네요.
1725,"에어프라이, 전자레인지, 오븐을 한 번에 해결하니까 집 공간도 넓어졌습니다"
1726,"이뻐서 샀어요 ㅋㅋ 오브제로 다 들이려고요
오브제 짱.. 전자렌지로 주로 사용해요 ㅋㅋ"
1727,"디자인도 예쁘고, 사용해보니 편리하고 좋네요"
1728,"아직 레인지 위주로 쓰는데, 좋네요.
냉동 생지 써봤는데 에어프라이 기능으로 잘 구워지네요."
1729,"워낙에 쓰임새가 많아서 구매했는데
에어프라이어 부터 베이킹 오븐 렌지 기능까지 한번에 되니 만능역활 똑똑히 하네요
제품하나로 올인원으로 사용할 수 있어서 너무 좋아요"
1730,"가전은 역시 LG~~ 광파오븐 디자인 넘 예쁘고 전자레인지, 오븐, 에어프라이어를 하나로 사용하기 좋아요🤍"
1731,광파오븐 간지나요 조아요
1732,디자인도 이쁘고 유용하게 사용가능합니다^^
1733,"공간차지도 별로 없고, 전자레인지 오븐 에어프라이 다 할 수 있습니다."
1734,"기존의 전기레인지를
능가하는 뛰어난 성능 탁월한
선택을 한거 같아요"
1735,가전은 역시 엘지~ 디자인도 깔끔하고 기능도 좋아요
1736,"전자렌지와 오븐 기능 동시에 사용가능해서 좋아요 색상,디자인도 고급스럽고 예뻐요"
1737,"에어프라이어기보다 예열시간이 걸리는것 같지만 깔끔한 외관과 오븐, 에어프라이어, 전자렌지 기능까지 갖추고 있어 너무 좋습니다"
1738,이렇게 좋을 줄이야~
1739,디자인 깔끔하고 전자레인지와 오븐 등의 용도로 사용할 수 있어서 좋았습니다.
1740,조작법이 아직까진 서툴지만 만족합니다!!
1741,"집에서 쓰던 에어프라이어가 오래 되어서 알아보던차에 요즘은 오븐,레인지,에어프라이어 기능이 같이 되어있어서 구입하게 되었어요 엘지 전자레인지 20년이 넘어도 잘쓰고 있었지만 이번 기회에 바꾸게 되었네요 하나로 다 되니 공간활용이 좋네요
닭다리 구워봤는데 맛있다고 아이들이 좋아하네요 맛있는거 많이 만들고 잘 써보겠습니다"
1742,조리종류가 많아서 좋아요
1743,예쁘고 기능많고 좋아요!!
1744,레인지 성능이 조금 떨어지지만 복합기여서 공강 활용에 좋아요
1745,에어프라이기 모드 오래걸리네요..
1746,"흰색디자인에 일반 전자레인지보다는
출력도 최고!"
1747,"혼수부터 시작해서 집안의 모든 가전은 LG로 맞추고 있습니다. 별 생각없이 주문했는데 전자레인지부터 오븐, 그릴 등 다양한 모드로 활용가능해서 너무 좋아요"
1748,오븐 전자렌지 에어프라이어기능등 여러가지 있어서 좋은거같애요
1749,집에 있는 에어프라이어.. 전자레인지 모두 버렸습니다. 이거 하나면 ...최고
1750,전자레인지 에어프라이 다되서 상당히 잘쓰고있어요!
1751,예쁘고 간편하고 좋아요
1752,사용도 간편하고 음식조리도 잘되요
1753,"제품이 너무 좋고 가격도 좋아요.
사용법도 쉽고 편리합니다."
1754,사이즈딱 맞고 색깔도 마음에 듭니다
1755,"2년 사용한 후 후기 작성합니다.
이 제품 하나가 전자레인지, 오븐, 에어프라이어, 찜기 등 여러 가전제품을 대체해주니 실용성과 활용도가 다양합니다. 특히 한번에 여러 종류의 음식을 해야 하는 상황일 때 가스레인지에서 조리하는 동시에 광파오븐으로 다른 요리를 준비하면 준비 시간도 절감되고 품도 덜 듭니다. 조리가 끝난 후에는 자동 쿨링 기능이 있어 안전하게 사용할 수 있습니다. 디자인이 깔끔해서 주방 한 켠을 밝혀주고 용량도 커서 웬만한 그릇이나 식재료는 충분히 들어갑니다. 위아래로 열리는 도어도 공간 차지를 줄여줍니다. 여러모로 살림살이에 도움되어 만족스러운 가전제품입니다."
1756,"전자렌즈, 에어프라이어, 오븐이 같이되어서 편리합니다. 공간도 차지 많이 안하고 음식 조리도 잘 됩니다."
1757,생각보다 사이즈 크고 전자레인지기능도 되면서 에어프라이기 역할도 해줘서 매우 만족해요.
1758,기능이 좋아서 하나면 충분해요
1759,디자인 이쁘고 깔끔해요 만족해요
1760,"여러가지 기능이 있지만 전자레인지 용으로 많이씁니다
성능은 좋은데
탈취기능이 없는건 아쉽습니다"
1761,할인 받기 위해 가지수와 금액 맞춰야햐서 구매 했어요. 필요하지 않다고 생각했는데 막상 있으니까 잘 써요. 다만 그 어떤 기능도 아주 잘 되지는 않아요. 예를 들어 오븐 기능은 원래 걸려야하는 시간보다 항상 1.5배는 걸려요. 공간이 부족한 분들은 쓰기에 나쁘지 않아요.
1762,어플과 연동되니 쓰기 편해요
1763,"신혼가전으로 구입했습니다
만족스럽게 사용중 입니다^^"
1764,우리집에 아주 딱맞는 제품이에요
1765,"전자레인지며 오븐기능이 되니까
아주잘사용하고있습니다."
1766,용량도 크고 사이즈도 크고 어플로 많은 요리를 할수있어 좋습니다.
1767,좋아요 이쁘고 실생활에도 잘쓰고있어요~
1768,"에어프라이,오븐,데우기 기능이 하나에 다 들어있어서 너무 편리해요! 각각 살 필요없이 이거 하나로 요리가 가능하니 편리하고 디자인도 예쁘고 최고입니다"
1769,"주방에 잘 어울리는색이고
기능이 다 있어 좋습니다"
1770,좋아요......^^
1771,디자인 너무 깔끔하고 에어프라이기 따로 안써서 너무 좋아요
1772,디자인도 예쁘고 성능도 좋아서 추천합니다
1773,다품목할인으로 구매했는데 성능좋아여
1774,신혼가전으로 구매했는데 너무 만족이에요!!ㅎ
1775,생각보다 너무 좋아서 잘쓰고 있어요.
1776,이사 오게되서 구매했습니다 디자인 깔끔하고 예쁘네요~ 사용방법도 다양하고 좋네요
1777,성능이 매우 뛰어납니다. 해동 조리 에프 모두 잘되서 잘쓰고있습니다. 매우 만족합니다~~^^
1778,오래 사용하던 광파오븐이 고장나서 고치지 않고 새로 장만했어요. 내부가 은근히 넓고 크기와 무게는 더 적어져서 좋네요. ^^
1779,"전자레인지, 에어프라이어기, 오븐 기능을 모두 사용할 수 있어서 공간 활용도도 좋고 사용법도 간편해서 잘 사용하고 있습니다!"
1780,"모든걸 할 수 있단건 장점이지만
어느하나 완벽히 잘하진 못한다는게 단점입니다"
1781,오븐 그릴 에어프라이어 기능이 다 있어서 좋아요
1782,디자인예쁘고 기본기능 레시피로 돌려도 충분히 요리잘되고 맛있음
1783,"전자레인지랑 오븐!, 에프까지 사용가능해서 좋어여!"
1784,아주잘사용하고있습니다!!
1785,깔끔한 디자인에 사용하기 편리해요
1786,"인테리어하면서 고른 오브제 광파오븐인데요~
가장 많이 사용하게 된 제품 같아요~
기본적인 레인지 기능도 자주쓰고 군고구마등에도 잘 쓰고 있습니다."
1787,디자인도 맘에 들고 사용하는데도 편리해서 좋아요
1788,왜 이제 샀나 싶을 정도로 광파 오븐 너무 좋아요
1789,디자인이 이쁘고 실용적이에요^^
1790,"빵을 만들고 싶어서 구매했는데 너무 좋아요 성능 🍞 만드는데도 좋은 품질이구요 맛있게 구워집니다
간단기능들도 사용하기 좋아요"
1791,살면서 없어서는 안될 광파오븐 전자레인지입니다
1792,색상 디자인 모두 만족! 인테리어 성능 모두 좋아요! 색상 대비 때도 잘 안타서 청소도 편하니다.
1793,좋아요 가전은 엘지입니다
1794,"다양한 기능이있어서 너무좋아요.
요즘 오븐기능으로 요리하는 재미에빠졌네요"
1795,너무 이뻐요. 매일봐도 이뻐요. 추천드려요
1796,굿 좋습니다요~~~~~굿
1797,"너무 이쁘고 편해요
오븐 에어프라이 렌지 기능이다되고
생각보다 엄청 커서 좋아요"
1798,상품과 배송 모두 만족합니다 :)
1799,아쥬 잘쓰고 있습니다. 좋아요
1800,"어머니집에 전자레인지 교체 요청이 와서 구매!
세련되고 모던한 디자인과 스마트한 자동 요리 모드, 청소도 용이하고 에너지 효율도 좋습니다. 40만원대라 좀 비싸긴해도 한번 구매해서 오래 쓰면 되니까~
광파 오븐이라 그런지 음식 데우는데 정말 빠르고 소음도 적습니다.
나이드신 분들은 처음에 조작이 좀 어려울수도 있으니 젊은 사람들이 가이드를 잘 해드려야함!"
1801,전자레인지와 오븐과 에어프라이기가 동시에 되니 더할 나위 없이 좋습니다! 음식도 씽크앱 통해서 조리하면 알아서 스마트하게 조리가 됩니다!
1802,"주로 전자랜지 사용하지만
한번씩 오븐요리나 에어프라이기 사용이 가능해 좋아요"
1803,디자인이 넘넘 맘에 들어요
1804,"예전에 쓰던 오븐레인지 고장나서 새로 샀는데,
예전 거가 생각이 안 날 정도로 좋네요.

렌지도 출력이 높고 (1100w),
오븐이나 그릴도 잘 됩니다! 아침에 빵 뎁혀먹으니 맛나요.

에어 프라이는 조금 아쉽네요. 원래 쓰던 에어프라이기 이제 어디 넣어놓나 했는데 아직은 에어프라이기의 그 느낌을 못 따라가네요."
1805,전자렌지+오븐+에어프라이어 너무 좋아요
1806,"디자인 10점
기능 9점
편의성 8점"
1807,디자인도 이쁘고 너무 마음에 드네요 ㅎㅎ
1808,가전은 역시 엘지죠 ㅎㅎ 비싸도 후회없습니다.
1809,여러가지 기능이 제공되어 좋습니다
1810,잘 쓰고있어요 믿고쓰는 엘지
1811,정말 마음에 들어요 가전은 lg짱임
1812,그 어떤 가전보다 쓰임새가 많은 제품이죠.
1813,가격도 좋고 기능도 좋고 성능도 좋고 ! 무엇보다 디자인이 너무 예뻐요
1814,색상도 예쁘고 냉장고랑 색을 맞췄더니 통일감있어 주방이 깔끔해보여요!
1815,성능좋고 좋네요ㅎ이쁘요
1816,여러모로 잘 사용하고있어요
1817,활용도가 높아서 정말 좋습니다
1818,너무잘쓰고있어요 디자인두 넘이뻐요
1819,"전자렌지, 오븐, 에어프라이 모두 사용 가능해서 공간 절약도 되고 너무 간편합니다. 에어프라이나 오븐 기능은 어플로 조작하는게 더 간편하고, 큐알 인식해서 조리법 추천해주는 것도 잘 쓰고 있습니다 :)"
1820,간단한 요리를 광파오븐으로 할수 있어서 너무 좋아요
1821,잘사용해요 에어프라이기능이있어 너무좋아요
1822,여러가지 기능을 사용 할 수 있어서 좋습니다
1823,3가지 기능이 함께 있어서 편리해요
1824,아들이 제빵이 취미여서 구입하게 됐어요. 너무 예쁘고 기능도 다양해서 좋아요 Thin Q로 편하게 작동할수 있어서 좋네요
1825,신혼 가전으로 구매했고 매일매일 요리할때 잘 쓰고 있어요
1826,"에어프라이, 전자레인지 따로 살까하다가 엘지에 통합된 버전이 있어 구매했어요~ 디자인도 깔끔하고 예뻐요! 기능도 많고 핸드폰과 연동하면 더 편리하네요"
1827,"전자레인도 되면서 에어프라이어도 같이 되는거 사고 싶었는데 디자인도. 색상도 이뻐서 구매했습니다.
너무 좋아요"
1828,광파오븐과 전기레인지를 고민했는데 광파오븐으로 구매할껄 후회가 되네요ㅠㅠ 하지만 지금도 충분히 좋습니다!
1829,잘 사용중입니다 쿠키랑 빵구울때 스팀기능이있어서 측촉하게 잘구워져서 좋습니다
1830,"신혼가전으로 삼성 큐커랑 고민하다가 가전은 LG이기도 하고 큐커 사이즈가 좀 작은거 같아서 구입했어요.
배송왔을때 느낌은 크다!였어요. 그 전에 전자렌지 두던 곳에 놨는데 뒷부분이 튀어나와있고 꼭 사이즈 쟤보세요!
그런데 보시면 정말 고급스러워요.
그리고 애매하게 크면 쿠킹하거나 할때 번거로운데 이거는 정말 그런 염려 없을듯요
첫구매여서 할인까지 잘 받아서 구입했습니다!
넘넘 기대되요. 그전에 전자렌지, 에어프라이기 두개 쓰던거 처분하고 요거 하나로 다 되니까 만족스럽습니다 ㅎㅎ"
1831,좋아요 좋아요 좋아요
1832,아주잘사용하고있어요 ㅎㅎ
1833,딱 필요한 기능만 있어서 어렵지않고 크기도 적당해요
1834,디자인도 이쁘고 요리할맛 나네요
1835,"디자인도 주방이랑 잘 어울리고 폰이랑 연동되어서 편해요~,♡(,♡♡♡"
1836,성능보단 외관이 이쁩니다
1837,다양한 기능이 있어서 아주 좋습니다
1838,가전은 엘지 디자인도 엘지 넘 고급스러워요
1839,"전자레인지 , 에프, 오븐
한번에 다 사용할수 있어서 좋아요
요리 잘 안해먹는 저한테는
공간차지 안하고. 좋아요"
1840,"전자렌지랑 고민하다가 에어프라이기랑 오븐기능도잇는 이제품으로 구매했는데, 한가지로 여러기능하니 좋아요
자리차지도 없구, 자동쿨링기능잇어서 전자렌지 환기시간도 단축됩니다.
위치는 지금위치도 사용하기좋아요~"
1841,"디자인이쁘고 성능좋고^^
오븐이라 부피감이크고 무게 꽤 나갑니다!
오븐. 레인지. 에어프라이기가 같이되어있어서
매일매일 너무 잘써요."
1842,"오븐, 전자레인지, 에어프라이어가 결합된 모델이어서 편리합니다."
1843,오븐사용하기가 정말 편해요
1844,"에어프라이 기능이 있은 제품들은 다들 사이즈가 커서 고민했는데 매장에서 이 제품을 보고 아담하고 기능까지 갖춰져 있어서 너무 마음에 들어 선택하기 되었어요!!
가구 색상까지 너무 잘 어울려요"
1845,만족합니다. 잘 사용하고 있어요
1846,전자레인지 기능뿐 아니라 각종 요리기능이 있어 너무 좋네요.
1847,구입후 잘 사용중입니다 ㅎㅎ 좋아요
1848,깔끔하고 집안 분위기랑 어울려서 좋아요~
1849,여러 요리를 할 수 있어서 좋아요. 디자인도 너무 만족스럽습니다~
1850,"디자인부터 성능까지 다 너무 좋아요
에프까지 한방에 해결이니 안 살 이유가 없어요
추천추천합니다!!"
1851,부가기능이 있어 편리하지만 그만큼 부피가 큰편.
1852,"성능은 진짜 동네에 다니며 자랑하고 싶을 만큼 좋아요
아쉽다면..에어프라이나 오븐쓸때 ㅠ ㅠ 기존에 쓰던 제품들과 형태가 달라서 조금 불편한거 ? 적응되겠죠
기존엔 바스켓형 쓰다가 이걸 쓰려니 먼가 어색해요
하지만 미관상이쁘고 렌지 성능최고에요 밥 1분만 들려도 뜨끈
기존에 쓰던건 2분 30초 3분 돌렸었어요"
1853,가전은 역시 LG🤍
1854,"성능도 좋고 무엇보다 출력이 좋아서 타 브랜드에
비해 음식이 금방 조리됩니다"
1855,여러 기능이 하나로 합쳐져있어서 진짜 짱 좋습니다.
1856,기능이 다양하고 디자인이 예쁨
1857,요리 레시피도 많고 아주 편리하게 사용하고 있어요 !!!
1858,광파오븐 디자인도 이쁘고 성능또한 좋네요~! 역시 가전은 LG입니다~!
1859,"전자레인지 에어프리이어 오븐 기능이 있는 제품중 슬림한걸로 골랐습니다. 삼* 제품과 고민 믾이 하다가 용량 기능 등을 모두 고려해 엘지로 선택했네요.
요알못이라 요리는 많이 안하지만 찜 건조 기능까지 있어서 선택했고, 군고구마도 해 먹으면서 잘 쓰고 있습니다.
싱큐 앱으로 요리 선택하면 자동으로 돌아가니까 편리하더라고요.
그리고예뻐요. 주방 분위기 해치지 않아 좋네요.
오븐 중에 슬림한거지 재품 자체 크기가 있으니 꼭 하이즈 확인하고 구매하세요!"
1860,전기레인지랑 고민하다가 삿는데 만족해요
1861,기능이 많아 두루 사용하기 좋아요
1862,다양한 기능이 갖춰져있어서 너무 편합니다. 공간을 적게 차지해 좁은 주방을 넓게 쓸수 있어요.
1863,저희집 인덕션 옆자리가 딱 광파오픈자리네요 ㅎㅎ 잘샀어요
1864,사용 방법을 잘 몰라 설명서를 보고해야하나 성능이 너무 좋네요.
1865,광파 오븐 매우 좋음
1866,"전자렌지 오븐 에어프라이 기능까지 전부 갖추고 있고 디자인이 너무 이뻐서 추천
다만 에어프라이어는 좀 아쉬워요 ㅠ"
1867,LG제품이기에 믿고 구매했어요
1868,"디자인도 깔끔하니 예쁘고, 핸드폰 연동되는거나 오픈, 에어프라이, 전자레인지 세개 모두 활용가능해서 편리하고 좋아요!"
1869,오븐으로 사용도 좋고 또 전자레인지사용으로도 좋아요
1870,"전자렌지, 오븐, 에어프라이 한방에 다 모아놓은 광파오븐! 아직 사용법을 잘 모르겠지만... 공부가 필요 할것 같아요. 오븐, 에어프라이기 예열 어떻게 하나요ㅜ"
1871,"입주하면서 오브제로 가전바꾸면서 구매했는데
넘이쁘고 좋아요
좋은기능들이 많으나 거의 렌지만 사용하고있음이 안타까울뿐..."
1872,역시 믿고사는 엘지!! 성능 디자인 다 뛰어나요!!!
1873,전자렌지 대신 샀어요 기능은 전자렌지용으로망 사용해요
1874,"25년 넘게 사용한 전자렌지를 교체했습니다.
간단한 기능만 있는것으로 교체하려 했는데
오브제컬렉션 광파오븐으로 구입했습니다."
1875,디자인때문에 선택햇구요 아직 단점 없엇고 잘 사용중입니다 강추해요
1876,행사할때 저렴하게 잘구매했네요
1877,"신혼으로 세트로 가전을 구매하였는데 전자레인지가 필요하여 알아보다가 같이 구매하였습니다.
레인지 뿐만 아니라 에어프라이어 오븐 등 활용도가 매우 높으며 요리별로 데이터가 저장되어있어 바로바로 쓸수 있는점이 너무 좋았습니다"
1878,주방에서잘쓰고있습니다.
1879,"처음엔 많이 사용하려나 하는 의문이 들기는 했는데 간편해서 생각보다 활용을 정말 많이하게 되더라구요:)
신혼집에 들인 맘에드는 가전입니당ㅎㅎ"
1880,요리에 폭이 넓어졌어요 사용도 편하고 다용도로 쓰기좋아요
1881,"신혼가전중에서
전자레인지와 에어프라이어가 필요했는데
오브제 광파오븐은 두가지 기능이 결합해서
공간도 잘활용할수있어서
만족하면서 사용중입니다.^^"
1882,신혼가전으로주문했어요 조ㅗ아요
1883,색상이뻐요. 깔끔한 디자인이라 어디에도 잘 어울려요
